Account Values,,,,,,,,,
Year,Savings,Savings [Auto-Created],Aubrey TFSA,Darla TFSA,Aubrey RRSP,Darla RRSP,Aub - TD Taxable,Darla - TD Taxable,Darla - EQ GICs
2026,20000,0,209000,198000,126900,90000,67500,126000,114500
2026,20003.78,0,217180.38,205889.17,130259.52,91525.42,68393.49,119404.2,116015.62
2027,20013.78,0,239661.32,227575.13,139430.69,95288.23,70787.26,99965.46,120076.17
2028,20023.79,0,263725.07,250787.93,141382.23,93935.73,73264.81,0,120990.56
2029,20033.8,0,289483.08,275635.07,140577.83,92395.27,46155.19,0,96774.23
2030,20043.82,0,317036.3,302231.63,137762.18,90656.04,25912.26,0,79173.32
2031,20053.84,0,344825.9,330700.77,134615.9,88706.75,6285.31,0,62200.46
2032,20063.87,0,372860.14,361174.34,131120.47,86535.56,0,0,29899.98
2033,20073.9,0,394551.09,387202.69,127256.49,84130.11,0,0,3240.24
2034,20083.94,0,379336.57,377547.44,123003.67,81477.43,0,0,0
2035,20093.98,0,386568.64,390881.28,118340.8,78564,0,0,0
2036,20104.03,0,386969.69,398165.8,113245.69,75375.65,0,0,0
2037,20114.08,0,393229.39,412152.46,107695.14,71897.55,0,0,0
2038,20124.14,0,398864.23,426518.61,101664.89,68114.24,0,0,0
2039,20134.2,0,412795.63,450406.01,95129.6,64009.52,0,0,0
2040,20144.26,0,427089.5,476115.61,88062.77,59566.48,0,0,0
2041,20154.34,0,441226.19,503271.43,80436.71,54767.42,0,0,0
2042,20164.41,0,455147.2,531964.36,72222.48,49593.88,0,0,0
2043,20174.5,0,460609.15,553956.66,63389.88,44026.56,0,0,0
2044,20184.58,0,473557.71,585434.43,53907.32,38045.29,0,0,0
2045,20194.68,0,486067.64,618718.86,43741.84,31629,0,0,0
2046,20204.77,71383.4,506230.41,662280.99,32858.99,24755.71,0,0,0
2047,20214.88,38048.47,526535.01,708910.19,21222.83,17402.45,0,0,0
2048,20224.98,3377.67,546920.35,758822.42,8795.82,9545.23,0,0,0
2049,20235.1,0,531029.52,812248.81,0,1159.02,0,0,0
2050,20245.21,0,475123.06,869237.92,0,0,0,0,0
2051,20255.34,0,435402.41,928209.86,0,0,0,0,0
2052,20265.46,0,392372.73,989647.27,0,0,0,0,0
2053,20275.6,0,345780.33,1053618.81,0,0,0,0,0
2054,20285.73,0,295438.8,1120191.57,0,0,0,0,0
2055,20295.88,0,241117.05,1189432.45,0,0,0,0,0
