Expenses,,,,,,,,,,,,,
Year,Total,Living Expenses,Extra Living Expenses,New Car,Camping and Other Fun,Second Vehicle Annual,New (Used) Truck,Trip to Spain,Price Shock,Price Shock #2,Price Shock #3,Extra Travel,Tax Return Payment
2026,68333.33,55000,10000,0,1250,0,0,0,0,0,0,2083.33,0
2027,75449.65,55624.02,10113.46,0,3034.04,0,0,0,0,0,0,5056.73,1621.4
2028,140142.78,57292.74,10416.86,0,3125.06,5208.43,57292.74,0,0,0,0,5208.43,1598.51
2029,100438.94,59011.53,10729.37,0,3218.81,5364.68,0,16094.05,0,0,0,5364.68,655.81
2030,89581.9,60781.87,11051.25,0,3315.37,5525.62,0,0,0,0,0,5525.62,3382.15
2031,91367.58,62605.33,11382.79,0,3414.84,5691.39,0,0,0,0,0,5691.39,2581.84
2032,94177.12,64483.49,11724.27,0,3517.28,5862.14,0,0,0,0,0,5862.14,2727.81
2033,95578.79,66417.99,12076,0,3622.8,6038,0,0,0,0,0,6038,1386
2034,147348.13,68410.53,12438.28,49753.11,3731.48,6219.14,0,0,0,0,0,6219.14,576.44
2035,100320.35,70462.85,12811.43,0,3843.43,6405.71,0,0,0,0,0,6405.71,391.22
2036,116433.09,72576.73,13195.77,0,3958.73,6597.88,0,0,13195.77,0,0,6597.88,310.32
2037,106272.45,74754.04,13591.64,0,4077.49,6795.82,0,0,0,0,0,6795.82,257.63
2038,109398.63,76996.66,13999.39,0,4199.82,6999.7,0,0,0,0,0,6999.7,203.37
2039,94834.7,79306.56,14419.37,0,360.48,600.81,0,0,0,0,0,0,147.47
2040,96627.61,81685.75,14851.96,0,0,0,0,0,0,0,0,0,89.91
2041,99464.45,84136.33,15297.51,0,0,0,0,0,0,0,0,0,30.61
2042,102416.86,86660.42,15756.44,0,0,0,0,0,0,0,0,0,0
2043,121718.49,89260.23,16229.13,0,0,0,0,0,0,16229.13,0,0,0
2044,108654.04,91938.04,16716.01,0,0,0,0,0,0,0,0,0,0
2045,111913.66,94696.18,17217.49,0,0,0,0,0,0,0,0,0,0
2046,97537.06,97537.06,0,0,0,0,0,0,0,0,0,0,0
2047,103636.24,100463.17,0,0,0,0,0,0,0,0,0,0,3173.07
2048,106643.41,103477.07,0,0,0,0,0,0,0,0,0,0,3166.34
2049,109726.63,106581.38,0,0,0,0,0,0,0,0,0,0,3145.25
2050,132572.11,109778.82,0,0,0,0,0,0,0,0,19959.79,0,2833.5
2051,114763.51,113072.19,0,0,0,0,0,0,0,0,0,0,1691.32
2052,118014.73,116464.35,0,0,0,0,0,0,0,0,0,0,1550.37
2053,121443.79,119958.28,0,0,0,0,0,0,0,0,0,0,1485.5
2054,124975.72,123557.03,0,0,0,0,0,0,0,0,0,0,1418.69
2055,128649.96,127263.74,0,0,0,0,0,0,0,0,0,0,1386.21
