Withdrawals,,,,,,,,,,
Year,Total,Withdrawal Rate,Darla TFSA,Aubrey TFSA,RMD: Aubrey RRSP,RMD: Darla RRSP,Savings [Auto-Created],Darla - TD Taxable,Darla - EQ GICs,Aub - TD Taxable
2026,17190.88,0.34,0,0,0,0,0,17190.88,0,0
2027,23617.89,0.99,0,0,0,0,0,23617.89,0,0
2028,118731.91,10.34,0,0,7291.8,4687.59,0,103464.25,3288.27,0
2029,70463.66,5.86,0,0,7510.56,4828.22,0,0,28451,29673.89
2030,55555.32,4.32,0,0,7735.87,4973.06,0,0,20988.02,21858.36
2031,53368,4.05,0,0,7967.95,5122.25,0,0,19743.92,20533.88
2032,54465.71,4.1,0,0,8206.99,5275.92,0,0,34477.5,6505.3
2033,41593.65,4.04,0,0,8453.2,5434.2,0,0,27706.25,0
2034,89541.37,8.81,35941.85,35941.85,8706.8,5597.23,0,0,3353.64,0
2035,40529.5,4.13,12898.18,12898.18,8968,5765.14,0,0,0,0
2036,54578.54,5.49,19701.7,19701.7,9237.04,5938.1,0,0,0,0
2037,42982.26,4.32,13675.94,13675.94,9514.15,6116.24,0,0,0,0
2038,44629.74,4.44,14265.22,14265.22,9799.57,6299.73,0,0,0,0
2039,28542.74,2.81,5980.23,5980.23,10093.56,6488.72,0,0,0,0
2040,28766.9,2.76,5843.58,5843.58,10396.37,6683.38,0,0,0,0
2041,29987.91,2.8,6197.89,6197.89,10708.26,6883.88,0,0,0,0
2042,31245.56,2.84,6562.83,6562.83,11029.51,7090.4,0,0,0,0
2043,48770.06,4.32,15053.28,15053.28,11360.39,7303.11,0,0,0,0
2044,33875.16,2.97,7325.88,7325.88,11701.2,7522.2,0,0,0,0
2045,35249.42,3.01,7724.66,7724.66,12052.24,7747.87,0,0,0,0
2046,20394.11,0,0,0,12413.81,7980.31,0,0,0,0
2047,54376.56,4.13,0,0,12786.22,8219.71,33370.62,0,0,0
2048,56325.94,4.23,0,0,13169.81,8466.31,34689.82,0,0,0
2049,57427.39,4.26,0,36224.05,9103.68,8720.29,3379.36,0,0,0
2050,75692.07,5.55,0,74492.49,0,1199.58,0,0,0,0
2051,56349.96,4.13,0,56349.96,0,0,0,0,0,0
2052,58268.77,4.21,0,58268.76,0,0,0,0,0,0
2053,60325.45,4.3,0,60325.45,0,0,0,0,0,0
2054,62443.83,4.4,0,62443.83,0,0,0,0,0,0
2055,64662.11,4.5,0,64662.11,0,0,0,0,0,0
