2026-08-17-projectionlab-report-all-accounts

Year,Savings,Savings [Auto-Created],Aubrey TFSA,Darla TFSA,Aubrey RRSP,Darla RRSP,Aub - TD Taxable,Darla - TD Taxable,Darla - EQ GICs
2026,20000,0,209000,198000,126900,90000,67500,126000,114500
2026,19780.95,0,214702.78,203539.42,128784.59,90495.06,67625.31,118121.49,114712.55
2027,19214.41,0,230028.35,218427.05,133836.82,91473.74,67953.58,96020.91,115269.41
2028,18664.09,0,245754.08,233697.66,131758.9,87548.85,68283.46,0,112819.27
2029,18129.54,0,261901.55,249372.15,127194.85,83604.91,41762.87,0,87621.59
2030,17610.29,0,278478.92,265472.04,121016.18,79641.83,22762.28,0,69608.31
2031,17105.92,0,294070.08,282019.54,114807.52,75659.51,5358.44,0,53105.74
2032,16615.99,0,308719.37,299037.57,108568.72,71657.86,0,0,24809.85
2033,16140.1,0,317165.6,311250.58,102299.64,67636.78,0,0,2655.57
2034,15677.83,0,296077.13,294671.6,96000.12,63596.18,0,0,0
2035,15228.81,0,292933.61,296192.15,89670.03,59535.97,0,0,0
2036,14792.64,0,284696.26,292923.42,83309.2,55456.05,0,0,0
2037,14368.97,0,280875.16,294381.18,76917.5,51356.32,0,0,0
2038,13957.43,0,276601.78,295768.61,70494.77,47236.69,0,0,0
2039,13557.68,0,277925.22,303236.16,64040.86,43097.06,0,0,0
2040,13169.38,0,279173.85,311208.87,57555.62,38937.34,0,0,0
2041,12792.2,0,280014.21,319377.65,51038.9,34757.42,0,0,0
2042,12425.82,0,280435.88,327753.6,44490.55,30557.21,0,0,0
2043,12069.93,0,275534.97,331362.06,37910.4,26336.62,0,0,0
2044,11724.24,0,275029.91,339991.35,31298.32,22095.53,0,0,0
2045,11388.45,0,274073.18,348855.5,24654.13,17833.86,0,0,0
2046,11062.28,39084.84,277128.25,362541.12,17977.7,13551.5,0,0,0
2047,10745.44,20228.75,279848.23,376763.64,11268.85,9248.35,0,0,0
2048,10437.69,1748.57,282216.31,391544.11,4527.44,4924.32,0,0,0
2049,10138.74,0,266030.95,406904.41,0,579.29,0,0,0
2050,9848.36,0,231088.12,422770.68,0,0,0,0,0
2051,9566.3,0,205599.27,438303.77,0,0,0,0,0
2052,9292.31,0,179881.9,453703.63,0,0,0,0,0
2053,9026.17,0,153902.3,468962.47,0,0,0,0,0
2054,8767.65,0,127663.2,484071.57,0,0,0,0,0
2055,8516.54,0,101152.04,499022.05,0,0,0,0,0
