2026-08-17-projectionlab-report-withdrawals-breakdown

Year,Total,Withdrawal Rate,Darla TFSA,Aubrey TFSA,RMD: Aubrey RRSP,RMD: Darla RRSP,Savings [Auto-Created],Darla - TD Taxable,Darla - EQ GICs,Aub - TD Taxable
2026,17190.89,0.34,0,0,0,0,0,17190.89,0,0
2027,23354.2,0.99,0,0,0,0,0,23354.2,0,0
2028,113981.63,10.34,0,0,7000,4500,0,99381.64,3099.99,0
2029,65675.33,5.86,0,0,7000,4500,0,0,26517.71,27657.62
2030,50271.22,4.32,0,0,7000,4500,0,0,18991.79,19779.43
2031,46885.45,4.05,0,0,7000,4500,0,0,17345.69,18039.76
2032,46456.28,4.1,0,0,7000,4500,0,0,29410.3,5545.98
2033,34442.95,4.04,0,0,7000,4500,0,0,22942.95,0
2034,71988.03,8.81,28869.76,28869.76,7000,4500,0,0,2748.52,0
2035,31634.93,4.13,10067.47,10067.47,7000,4500,0,0,0,0
2036,41359.9,5.49,14929.95,14929.95,7000,4500,0,0,0,0
2037,31623.32,4.32,10061.66,10061.66,7000,4500,0,0,0,0
2038,31879.08,4.44,10189.54,10189.54,7000,4500,0,0,0,0
2039,19794.04,2.81,4147.02,4147.02,7000,4500,0,0,0,0
2040,19368.45,2.76,3934.22,3934.22,7000,4500,0,0,0,0
2041,19602.49,2.8,4051.25,4051.25,7000,4500,0,0,0,0
2042,19829.73,2.84,4164.86,4164.86,7000,4500,0,0,0,0
2043,30050.34,4.32,9275.17,9275.17,7000,4500,0,0,0,0
2044,20264.53,2.97,4382.26,4382.26,7000,4500,0,0,0,0
2045,20472.47,3.01,4486.24,4486.24,7000,4500,0,0,0,0
2046,11500,0,0,0,7000,4500,0,0,0,0
2047,29768.77,4.13,0,0,7000,4500,18268.77,0,0,0
2048,29937.85,4.23,0,0,7000,4500,18437.85,0,0,0
2049,29631.87,4.26,0,18696.53,4685.9,4500,1749.44,0,0,0
2050,37920.83,5.55,0,37321.26,0,599.56,0,0,0,0
2051,27408.96,4.13,0,27408.96,0,0,0,0,0,0
2052,27516.88,4.21,0,27516.88,0,0,0,0,0,0
2053,27658.4,4.3,0,27658.4,0,0,0,0,0,0
2054,27795.79,4.4,0,27795.79,0,0,0,0,0,0
2055,27944.81,4.5,0,27944.81,0,0,0,0,0,0
